-1.1174e-43,-1.2154e-43,-1.6565e-43,-2.5797e-43,-5.6331e-43,-1.5165e-42,-8.5889e-42,4.9538e-24,1.3179e-10,-3.3033e-06,-6.9326e-06
-3.4957e-43,-3.8832e-43,-5.4059e-43,-9.1698e-43,-2.3715e-42,-9.0712e-42,3.19e-35,7.5595e-14,1.9669e-06,2.047e-05,-5.505e-05
-1.2351e-42,-1.4182e-42,-1.9758e-42,-3.8724e-42,-1.2513e-41,-5.7657e-41,3.455e-17,3.545e-07,0.00019923,-0.0001,-6.184e-05
-5.0851e-42,-5.8002e-42,-9.0863e-42,-2.1907e-41,-9.269e-41,1.3869e-27,6.3514e-09,0.00041069,0.00076165,0.00025327,-0.00013804
-2.5542e-41,-3.0619e-41,-5.2334e-41,-1.7123e-40,-4.104e-39,3.4388e-11,0.00051222,0.0055106,0.00055312,1.3299e-05,-0.0001075
-1.6834e-40,-2.164e-40,-4.3763e-40,-1.8967e-39,6.2154e-13,0.00063779,0.0096706,0.0070968,0.00203,0.00015431,-0.00025963
-1.654e-39,-2.4055e-39,-5.8929e-39,1.1351e-17,0.0011949,0.031242,0.042885,0.010029,0.0012989,-0.00023419,-0.00019351
-3.1605e-38,-5.2048e-38,5.056e-22,0.0099388,0.075862,0.092667,0.045416,0.0051366,0.0034551,7.2099e-05,-0.00012403
2.9456e-36,1.501e-05,0.13012,0.20283,0.15525,0.1225,0.039308,0.016492,0.0069443,0.00050136,-0.00012832
0.625,0.52837,0.42695,0.32847,0.23038,0.12373,0.051957,0.021835,0.008309,0.00031676,-9.8007e-05
1.25,1.0695,0.67722,0.44531,0.25071,0.13242,0.064875,0.024437,0.0051686,0.0019616,0.00011814
2.625,1.7303,0.95075,0.53326,0.28741,0.13368,0.086827,0.030551,0.007486,0.0013176,-0.00012494
3.5,2.2345,1.1282,0.57016,0.29444,0.16451,0.088044,0.03018,0.012505,0.0006727,0.00018911
4.875,2.8575,1.2561,0.58796,0.30456,0.17908,0.090141,0.037475,0.012389,0.0016897,-0.00041625
6,3.3426,1.325,0.60464,0.33697,0.19181,0.090823,0.035117,0.0078426,0.0011114,-0.00010718
7.375,3.6162,1.3276,0.62735,0.33993,0.19692,0.088656,0.029885,0.004162,0.00187,-0.00027132
9.719,3.8464,1.3583,0.66989,0.35653,0.189,0.097924,0.043181,0.010531,0.0011299,-4.8282e-05
12,4.14,1.4496,0.69124,0.35832,0.19028,0.10131,0.030406,0.0049587,0.00094815,-0.00042886
12.5,4.5185,1.5649,0.69386,0.3804,0.18935,0.09105,0.037538,0.012706,0.0025121,-0.00035804
12.5,4.7712,1.6324,0.73803,0.3709,0.19312,0.090341,0.030628,0.011689,0.0011981,-6.7308e-05
12.75,4.7329,1.6357,0.74659,0.3626,0.19328,0.095668,0.030078,0.0060564,-0.0005321,-3.2064e-05
12.5,4.739,1.6015,0.72997,0.37578,0.20609,0.10105,0.038997,0.0081685,9.5241e-05,-0.00028369
12.614,4.5021,1.5439,0.71251,0.37102,0.19865,0.10177,0.036091,0.0045481,0.0012895,0.00013261
12,4.1253,1.4605,0.68193,0.35025,0.21003,0.093136,0.028965,0.0064843,0.00060873,-0.00019873
10.071,3.8289,1.3672,0.64406,0.3675,0.19462,0.09145,0.037673,0.0067801,0.0010991,-0.00016184
7.375,3.6085,1.321,0.63901,0.32628,0.19768,0.084089,0.034586,0.015969,0.00035103,-0.00043606
6.237,3.3434,1.3217,0.62025,0.31784,0.19562,0.085179,0.03874,0.011367,0.0006218,-7.8941e-05
4.875,2.8724,1.2752,0.57575,0.3239,0.17003,0.095382,0.029528,0.0038702,0.00070343,-0.0001764
3.5,2.2602,1.1461,0.58513,0.28136,0.14946,0.092041,0.033509,0.0059431,0.0021749,-8.4357e-05
2.625,1.7285,0.93818,0.52006,0.27705,0.14939,0.07173,0.028746,0.0072375,0.00027866,-0.0003001
1.25,1.0529,0.69629,0.45879,0.26646,0.12942,0.069434,0.033186,0.0054693,0.00032078,2.7891e-05
0.625,0.60924,0.50039,0.31158,0.22382,0.14466,0.054659,0.023865,0.0075538,0.00017269,-0.00040318
-0,-0,0.12816,0.19863,0.16411,0.11253,0.047316,0.014601,0.0019013,0.00091488,-7.8364e-05
-0,-0,-0,0.013288,0.083271,0.084617,0.046922,0.013513,0.0024712,0.00023209,-0.00028371
-0,-0,-0,-0,0.00091104,0.042377,0.032719,0.0075321,0.0027555,-0.00042638,3.7959e-05
-0,-0,-0,-0,-0,0.00051489,0.014582,0.010799,0.00017152,8.758e-05,-6.3505e-05
-0,-0,-0,-0,-0,6.2752e-11,0.00047612,0.0052072,0.0012509,-0.00021907,-0.00026276
-0,-0,-0,-0,-0,-0,1.032e-08,0.00069217,0.00019137,-0.0001286,-6.5441e-05
-0,-0,-0,-0,-0,-0,-0,4.1666e-07,0.00024192,-7.2411e-05,-0.00010876
-0,-0,-0,-0,-0,-0,-0,8.9075e-14,1.7535e-06,7.6467e-05,2.2289e-05
-0,-0,-0,-0,-0,-0,-0,-0,5.3858e-11,1.0307e-05,-1.5593e-05
